{'loss': [0.22059719264507294], 'accuracy': [0.9333495497703552], 'val_loss': [2.7581424713134766], 'val_accuracy': [0.47290000319480896]}
{'loss': [0.216142475605011], 'accuracy': [0.9346153736114502], 'val_loss': [2.4273133277893066], 'val_accuracy': [0.47290000319480896]}
{'loss': [0.21001864969730377], 'accuracy': [0.9359785914421082], 'val_loss': [2.7795472145080566], 'val_accuracy': [0.47130000591278076]}
{'loss': [0.10890466719865799], 'accuracy': [0.9662609696388245], 'val_loss': [2.29998779296875], 'val_accuracy': [0.5582000017166138]}
{'loss': [0.07242144644260406], 'accuracy': [0.9783836603164673], 'val_loss': [1.701864242553711], 'val_accuracy': [0.6510000228881836]}
{'loss': [0.2076130211353302], 'accuracy': [0.9366114735603333], 'val_loss': [2.959519147872925], 'val_accuracy': [0.4706000089645386]}
{'loss': [0.10822662711143494], 'accuracy': [0.9670885801315308], 'val_loss': [2.3220622539520264], 'val_accuracy': [0.5286999940872192]}
{'loss': [0.07407674938440323], 'accuracy': [0.9762414693832397], 'val_loss': [2.0487618446350098], 'val_accuracy': [0.5604000091552734]}
{'loss': [0.21518948674201965], 'accuracy': [0.9340798258781433], 'val_loss': [2.6847035884857178], 'val_accuracy': [0.4749999940395355]}
{'loss': [0.21332044899463654], 'accuracy': [0.9359785914421082], 'val_loss': [2.6449942588806152], 'val_accuracy': [0.4740000069141388]}
{'loss': [0.2070472240447998], 'accuracy': [0.9363193511962891], 'val_loss': [2.945871114730835], 'val_accuracy': [0.47369998693466187]}
{'loss': [0.10636050254106522], 'accuracy': [0.9688413143157959], 'val_loss': [2.084374189376831], 'val_accuracy': [0.5541999936103821]}
{'loss': [0.21453309059143066], 'accuracy': [0.9342259168624878], 'val_loss': [2.6963133811950684], 'val_accuracy': [0.47119998931884766]}
{'loss': [0.1076449379324913], 'accuracy': [0.9677215218544006], 'val_loss': [2.3415048122406006], 'val_accuracy': [0.5551000237464905]}
{'loss': [0.20785383880138397], 'accuracy': [0.9367575645446777], 'val_loss': [3.0981383323669434], 'val_accuracy': [0.47049999237060547]}
{'loss': [0.21595069766044617], 'accuracy': [0.9325705766677856], 'val_loss': [3.257547378540039], 'val_accuracy': [0.4700999855995178]}
{'loss': [0.2085902839899063], 'accuracy': [0.9348587989807129], 'val_loss': [2.9553472995758057], 'val_accuracy': [0.4684999883174896]}
